"LOCATION_NAME","LONGITUDE","LATITUDE"
"IETT Garaj-Hasanpasa-Out","29.023297","40.593952"
"ISKI-Besiktas","29.028619","41.111566"
"032-Sultanbeyli Park ve Bahceler","29.275647","40.953196"
"014-Prof.Dr. Ilhan Varank Kutuphanesi","29.266941","40.969123"
"066-Deneyap Ali Emiri Kultur Merkezi","28.939853","41.019603"
"063-Istanbul Universitesi Saglik","28.863824","40.986566"
"IETT Garaj-Kurtkoy-Out","29.190288","40.554672"
"059-Buyukcekmece Mezarliklar","28.646075","41.014139"
"Harbiye Muhsin Ertuğrul Sahnesi","28.9888338272147","41.0466659942002"
"038-Avcilar Sukrubey Otobus Dura","28.731161","40.980151"
"ISKI-Catalca","28.464945","41.140074"
"PENDİK KAYNARCA","29.264695","40.875371"
"038-Sariyer Beyaz Park Otobus Du","28.890811","41.002993"
"ŞİŞLİ HAMİDİYE ETFAL EĞİTİM VE ARAŞTIRMA HASTANESİ","28.94416","41.0147"
"025-Cakmak Yuzme Havuzu","29.124733","41.021309"
"025-Halkali Yuzme Havuzu","28.799341","41.044949"
"061-Hekimbasi Yol Bakim","29.106539","41.057411"
"ESENLER ATIŞALANI","28.86699","41.05443"
"Fatih Reşat Nuri Sahnesi","28.9561985793001","41.0159179031348"
"059-Edirnekapi Mezarliklar","28.929976","41.02716"
"KADIKÖY RASİMPAŞA MAH.","29.025758","40.994132"
"ÜMRANİYE DUDULLU","29.17483","41.01779"
"007-Seyrantepe Itfaiye","28.988793","41.095976"
"ADALAR BÜYÜKADA","29.13765","40.87134"
"IETT Garaj-Anadolu-Out","29.075879","40.58449"
"KAĞITHANE HAMİDİYE","28.971989","41.093483"
"ŞİLE","29.6106","41.177556"
"004-Atasehir Meyve Sebze Hali","29.103195","40.979795"
"009-Zeytinburnu Zabita","28.889221","41.001069"
"BAKIRKÖY CEVİZLİK","28.87494","40.97987"
"007-Sadabad Itfaiye","28.955955","41.065614"
"BEYLİKDÜZÜ KAVAKLI MAHALLESİ","28.66076","40.98497"
"Sultangazi Hoca Ahmet Yesevi Sahnesi","28.8769464536535","41.0973478249675"
"025-Dudullu Spor Tesisi","29.162854","41.012238"
"001-IBB Sarachane Genel Sekreterlik","28.955491","41.013618"
"025-Haldun Alagas Spor Salonu","29.104731","41.024958"
"ISMEK-Bayrampasa","28.912704","41.033193"
"066-Deneyap Cem Karaca Kultur Merkezi","28.880827","40.980333"
"ISBAK-Piyalepasa Tunel Yonetim","28.968634","41.054595"
"025-Sefakoy Yuzme Havuzu","28.792729","40.997662"
"031-Bebek Parki","29.044182","41.075478"
"009-Edirnekapi Zabita","28.927929","41.027574"
"007-Beylikduzu Itfaiye","28.643542","40.998364"
"001-Hizmetici Egitim Merkezi","28.953279","41.016831"
"METRO-M1 Esenler","28.888605","41.037593"
"018-Yenikapi Etkinlik Alani","28.951178","41.00012"
"GÜLBAHÇE SPOR TESİSİ","29.0568257365249","40.9695678697047"
"060-Selimiye Trafik","29.020952","41.008899"
"METRO-M2 Seyrantepe","28.994406","41.101121"
"025-Beykoz Spor Kompleksi","29.100534","41.125255"
"032-Gaziosmanpasa Park ve Bahceler","28.876895","41.1035"
"METRO-M1B Esenler","28.888605","41.037593"
"BAHÇELİEVLER KOCASİNAN","28.8421","41.01342"
"ISTTELKOM-Genel Mudurluk","28.994763","41.06173"
"013-Haldun Taner Sahnesi","29.023408","40.991891"
"ÜMRANİYE ŞEHİT KAYMAKAM MUHAMMED FATİH SAFİTÜRK KÜLTÜR MERKEZİ","29.105685","41.017126"
"059-Catalca Mezarliklar","28.449979","41.148388"
"PENDİK SAHİL SPOR TESİSİ","29.242696340572","40.8755638988483"
"009-Bayrampasa Otogar Zabita","28.892694","41.038534"
"007-Yenikapi Itfaiye","28.953326","40.999688"
"032-Umraniye Park ve Bahceler","29.161417","41.012403"
"025-Kurtkoy Spor Salonu","29.320377","40.93096"
"007-Unalan Itfaiye","29.072233","41.001856"
"025-Sancaktepe Yenidogan Yuzme H","29.245335","41.015681"
"001-IBB Kasimpasa Ek Hizmet Binasi","28.971601","41.039638"
"059-Kucukcekmece Mezarliklar","28.770648","40.987009"
"056-Emirgan Korusu Pembe Kosk","29.056974","41.109713"
"031-Topkapi Trafik Egitim Parki","28.922887","41.021059"
"ATAŞEHİR","29.12529","40.9926"
"007-Arnavutkoy Itfaiye","28.72888","41.201328"
"032-Uskudar Park ve Bahceler Dogancilar Parki","29.013934","41.018927"
"012-Idris Gulluce Kultur Merkezi","29.30279","40.849875"
"BAĞCILAR EĞİTİM VE ARAŞTIRMA HASTANESİ BAĞCILAR TOPLUM VE RUH SAĞLIĞI MERKEZİ","28.94416","41.0147"
